genres,keywords,revenue,title,vote_average,vote_count,cast,director
Action Adventure Fantasy Science Fiction,culture clash future space war space colony society,2787965087,Avatar,7.2,11800,Sam Worthington Zoe Saldana Sigourney Weaver Stephen Lang Michelle Rodriguez,James Cameron
Adventure Fantasy Action,ocean drug abuse exotic island east india trading company love of one's life,961000000,Pirates of the Caribbean: At World's End,6.9,4500,Johnny Depp Orlando Bloom Keira Knightley Stellan Skarsg\u00e5rd Chow Yun-fat,Gore Verbinski
Action Adventure Crime,spy based on novel secret agent sequel mi6,880674609,Spectre,6.3,4466,Daniel Craig Christoph Waltz L\u00e9a Seydoux Ralph Fiennes Monica Bellucci,Sam Mendes
Action Crime Drama Thriller,dc comics crime fighter terrorist secret identity burglar,1084939099,The Dark Knight Rises,7.6,9106,Christian Bale Michael Caine Gary Oldman Anne Hathaway Tom Hardy,Christopher Nolan
Action Adventure Science Fiction,based on novel mars medallion space travel princess,284139100,John Carter,6.1,2124,Taylor Kitsch Lynn Collins Samantha Morton Willem Dafoe Thomas Haden Church,Andrew Stanton
Fantasy Action Adventure,dual identity amnesia sandstorm love of one's life forgiveness,890871626,Spider-Man 3,5.9,3576,Tobey Maguire Kirsten Dunst James Franco Thomas Haden Church Topher Grace,Sam Raimi
Animation Family,hostage magic horse fairy tale musical,591794936,Tangled,7.4,3330,Zachary Levi Mandy Moore Donna Murphy Ron Perlman M.C. Gainey,Byron Howard
Action Adventure Science Fiction,marvel comic sequel superhero based on comic book vision,1405403694,Avengers: Age of Ultron,7.3,6767,Robert Downey Jr. Chris Hemsworth Mark Ruffalo Chris Evans Scarlett Johansson,Joss Whedon
Adventure Fantasy Family,witch magic broom school of witchcraft wizardry,933959197,Harry Potter and the Half-Blood Prince,7.4,5293,Daniel Radcliffe Rupert Grint Emma Watson Tom Felton Michael Gambon,David Yates
Action Adventure Fantasy,dc comics vigilante superhero based on comic book revenge,873260194,Batman v Superman: Dawn of Justice,5.7,7004,Ben Affleck Henry Cavill Gal Gadot Amy Adams Jesse Eisenberg,Zack Snyder
Adventure Fantasy Action Science Fiction,saving the world dc comics invulnerability sequel superhero,391081192,Superman Returns,5.4,1400,Brandon Routh Kevin Spacey Kate Bosworth James Marsden Parker Posey,Bryan Singer
Adventure Action Thriller Crime,killing undercover secret agent british secret service,586090727,Quantum of Solace,6.1,2965,Daniel Craig Olga Kurylenko Mathieu Amalric Judi Dench Giancarlo Giannini,Marc Forster
Adventure Fantasy Action,witch fortune teller bondage exotic island monster,1065659812,Pirates of the Caribbean: Dead Man's Chest,7,5246,Johnny Depp Orlando Bloom Keira Knightley Stellan Skarsg\u00e5rd Bill Nighy,Gore Verbinski
Action Adventure Western,texas horse survivor texas ranger partner,89289910,The Lone Ranger,5.9,2311,Johnny Depp Armie Hammer William Fichtner Helena Bonham Carter James Badge Dale,Gore Verbinski
Action Adventure Fantasy Science Fiction,saving the world dc comics superhero based on comic book superhuman,662845518,Man of Steel,6.5,6359,Henry Cavill Amy Adams Michael Shannon Kevin Costner Diane Lane,Zack Snyder
Adventure Family Fantasy,based on novel fictional place brother sister relationship lion human being,419651413,The Chronicles of Narnia: Prince Caspian,6.3,1630,Ben Barnes William Moseley Anna Popplewell Skandar Keynes Georgie Henley,Andrew Adamson
Science Fiction Action Adventure,new york shield marvel comic superhero based on comic book,1519557910,The Avengers,7.4,11776,Robert Downey Jr. Chris Evans Mark Ruffalo Chris Hemsworth Scarlett Johansson,Joss Whedon
Adventure Action Fantasy,sea captain mutiny sword prime minister,1045713802,Pirates of the Caribbean: On Stranger Tides,6.4,4948,Johnny Depp Pen\u00e9lope Cruz Ian McShane Kevin McNally Geoffrey Rush,Rob Marshall
Action Comedy Science Fiction,time travel time machine alien fictional government agency seeing the future,624026776,Men in Black 3,6.2,4160,Will Smith Tommy Lee Jones Josh Brolin Michael Stuhlbarg Emma Thompson,Barry Sonnenfeld
Action Adventure Fantasy,corruption elves dwarves orcs middle-earth (tolkien),956019788,The Hobbit: The Battle of the Five Armies,7.1,4760,Martin Freeman Ian McKellen Richard Armitage Ken Stott Graham McTavish,Peter Jackson
Action Adventure Fantasy,loss of father vigilante serum marvel comic scientific experiment,752215857,The Amazing Spider-Man,6.5,6586,Andrew Garfield Emma Stone Rhys Ifans Denis Leary Campbell Scott,Marc Webb
Action Adventure,robin hood archer knight sherwood forest bow and arrow,310669540,Robin Hood,6.2,1398,Russell Crowe Cate Blanchett Max von Sydow William Hurt Mark Strong,Ridley Scott
Adventure Fantasy,elves dwarves orcs hobbit dragon,958400000,The Hobbit: The Desolation of Smaug,7.6,4524,Martin Freeman Ian McKellen Richard Armitage Ken Stott Graham McTavish,Peter Jackson
Adventure Fantasy,england compass experiment lordship uncle,372234864,The Golden Compass,5.8,1303,Dakota Blue Richards Nicole Kidman Daniel Craig Sam Elliott Eva Green,Chris Weitz
Adventure Drama Action,film business screenplay show business film making film producer,550000000,King Kong,6.6,2337,Naomi Watts Jack Black Adrien Brody Thomas Kretschmann Colin Hanks,Peter Jackson
Drama Romance Thriller,shipwreck iceberg ship panic titanic,1845034188,Titanic,7.5,7562,Kate Winslet Leonardo DiCaprio Frances Fisher Billy Zane Kathy Bates,James Cameron
